code,diagnosis_en,diagnosis_sr_latn,diagnosis_ru,diagnosis_lat
E53,Deficiency of other B group vitamins,Nedostatak ostalih vitamina B-grupe,Недостаточность других витаминов группы B,Deficientia vitaminorum B aliorum
E53.0,Riboflavin deficiency,Nedostatak vitamina B2,Недостаточность рибофлавина,Deficientia riboflavini
E53.1,Pyridoxine deficiency,Nedostatak vitamina B6,Недостаточность пиридоксина,Deficientia pyridoxini
E53.8,Deficiency of other specified B group vitamins,Nedostatak ostalih označenih vitamina B-grupe,Недостаточность других уточненных витаминов группы B,"Deficientia vitaminorum B specificatorum, aliorum"
E53.9,"Vitamin B deficiency, unspecified","Nedostatak vitamina B-grupe, neoznačen",Недостаточность витаминов группы B неуточненная,"Deficientia vitamini B, non specificata"
E54,Ascorbic acid deficiency,Nedostatak vitamina C,Недостаточность аскорбиновой кислоты,Deficientia acidi ascorbici
E55,Vitamin D deficiency,Nedostatak vitamina D,Недостаточность витамина D,Deficientia vitamini D
E55.0,"Rickets, active",Aktivni rahitis,Рахит активный,Rachitis activa
E55.9,"Vitamin D deficiency, unspecified","Nedostatak vitamina D, neoznačen",Недостаточность витамина D неуточненная,"Deficientia vitamini D, non specificata"
E56,Other vitamin deficiencies,Nedostatci ostalih vitamina,Недостаточность других витаминов,Deficientiae vitaminorum aliae
E56.0,Deficiency of vitamin E,Nedostatak vitamina E,Недостаточность витамина E,Deficientia vitamini E
E56.1,Deficiency of vitamin K,Nedostatak vitamina K,Недостаточность витамина K,Deficientia vitamini K
E56.8,Deficiency of other vitamins,Nedostatak drugih vitamina,Недостаточность других витаминов,Deficientia vitaminorum aliorum
E56.9,"Vitamin deficiency, unspecified","Nedostatak vitamina, neoznačen",Недостаточность витаминов неуточненная,"Deficientia vitamini, non specificata"
E58,Dietary calcium deficiency,Nedostatak kalcijuma u ishrani,Алиментарная недостаточность кальция,Deficientia calcii nutritivi
E59,Dietary selenium deficiency,Nedostatak selena u ishrani,Алиментарная недостаточность селена,Deficientia selenii nutritivi
E60,Dietary zinc deficiency,Nedostatak cinka u ishrani,Алиментарная недостаточность цинка,Deficientia zinci nutritivi
E61,Deficiency of other nutrient elements,Nedostatak drugih hranljivih materija,Недостаточность других элементов питания,Deficientia materiarum nutritivarum aliarum
E61.0,Copper deficiency,Nedostatak bakra u ishrani,Недостаточность меди,Deficientia cupri nutritivi
E61.1,Iron deficiency,Nedostatak gvožđa u ishrani,Недостаточность железа,Deficientia ferrum nutritivi
E61.2,Magnesium deficiency,Nedostatak magnezijuma u ishrani,Недостаточность магния,Deficientia magnesii nutritivi
E61.3,Manganese deficiency,Nedostatak mangana u ishrani,Недостаточность марганца,Deficientia mangani nutritivi
E61.4,Chromium deficiency,Nedostatak hroma u ishrani,Недостаточность хрома,Deficientia chromii nutritivi
E61.5,Molybdenum deficiency,Nedostatak molibdena u ishrani,Недостаточность молибдена,Deficientia molibdeni nutritivi
E61.6,Vanadium deficiency,Nedostatak vanadijuma u ishrani,Недостаточность ванадия,Deficientia vanadii nutritivi
E61.7,Deficiency of multiple nutrient elements,Nedostatak više hranljivih materija,Недостаточность многих элементов питания,Deficientia materiarum nutritivarum plurium
E61.8,Deficiency of other specified nutrient elements,Nedostatak drugih neozačenih hranljivih materija,Недостаточность других уточненных элементов питания,"Deficientia materiarum nutritivarum non specificatarum, aliarum"
E61.9,"Deficiency of nutrient element, unspecified","Nedostatak hranljive materije, neoznačene",Недостаточность элементов питания неуточненная,"Deficientia materiae nutritivae, non specificatae"
E63,Other nutritional deficiencies,Drugi nedostaci hranljivih materija,Другие виды недостаточности питания,Deficientiae materiarum nutritivarum aliae
E63.0,Essential fatty acid [EFA] deficiency,Nedostatak bitnih masnih kiselina,Недостаточность незаменимых жирных кислот,Deficientia acidorum stearicorum essentialium
E63.1,Imbalance of constituents of food intake,Neuravnoteženi sastav hrane,Несбалансированное поступление пищевых элементов,Inaequilibrium alimenti constitutionale
E63.8,Other specified nutritional deficiencies,Drugi označeni nedostaci hranljivih materija,Другие уточненные виды недостаточности питания,"Deficientiae materiarum nutritivarum specificatae, aliae"
E63.9,"Nutritional deficiency, unspecified","Nedostatak hranljivih materija, neozačen",Недостаточность питания неуточненная,"Deficientia materiarum nutritivarum, non specificata"
E64,Sequelae of malnutrition and other nutritional deficiencies,Posledice pothranjenosti i drugi nedostaci hranljivih materija,Последствия недостаточности питания и недостатка других питательных веществ,"Sequelae malnutritionis et deficientiae materiarum nutritivarum, aliae"
E64.0,Sequelae of protein-energy malnutrition,Posledice proteinsko-energetske pothranjenosti,Последствия белково-энергетической недостаточности,Sequelae malnutritionis proteinoenergeticae
E64.1,Sequelae of vitamin A deficiency,Posledice nedostatka vitamina A,Последствия недостаточности витамина A,Sequelae avitaminosis A
E64.2,Sequelae of vitamin C deficiency,Posledice nedostatka vitamina C,Последствия недостаточности витамина C,Sequelae avitaminosis C
E64.3,Sequelae of rickets,Posledice rahitisa,Последствия рахита,Sequelae rachitidis
E64.8,Sequelae of other nutritional deficiencies,Posledice nedostatka drugih hranljivih materija,Последствия недостаточности других витаминов,Sequelae deficientiae materiarum nutritivarum aliarum
E64.9,Sequelae of unspecified nutritional deficiency,"Posledice nedostatka hranljivih materija, neoznačene",Последствия недостаточности питательных веществ неуточненных,"Sequelae deficientiae materiarum nutritivarum, non specificatae"
E65,Localized adiposity,Lokalizovana gojaznost,Локализованное отложение жира,Adipositas localisata
E66,Obesity,Opšta gojaznost,Ожирение,Obesitas
E66.0,Obesity due to excess calories,Gojaznost uzrokovana viškom kalorija,"Ожирение, обусловленное избыточным поступлением энергетических ресурсов",Obesitas propter calorias enormes
E66.1,Drug-induced obesity,Gojaznost uzrokovana lekovima,"Ожирение, вызванное приемом лекарственных средств",Obesitas medicamentosa
E66.2,Extreme obesity with alveolar hypoventilation,Preterana gojaznost sa smanjenom ventilacijom plućnih mehurića,"Крайняя степень ожирения, сопровождаемая альвеолярной гиповентиляцией",Obesitas extrema cum hypoventilatione alveolari
E66.8,Other obesity,Druga gojaznost,Другие формы ожирения,Obesitas alia
E66.9,"Obesity, unspecified","Gojaznost, neoznačena",Ожирение неуточненное,"Obesitas, non specificata"
E67,Other hyperalimentation,Drugo prekomerno hranjenje,Другие виды избыточности питания,Hyperalimentatio alia
E67.0,Hypervitaminosis A,Povećan unos vitamina A,Гипервитаминоз A,Hypervitaminosis A
E67.1,Hypercarotenaemia,Povećani unos karotina,Гиперкаротинемия,Hypercarotinaemia
E67.2,Megavitamin-B6 syndrome,Povećan unos vitamina B6,Синдром мегадоз витамина B6,Hypervitaminosis pyridoxini
E67.3,Hypervitaminosis D,Povećan unos vitamina D,Гипервитаминоз D,Hypervitaminosis D
E67.8,Other specified hyperalimentation,Drugo označeno prekomerno unošenje hrane,Другие уточненные формы избыточности питания,"Hyperalimentatio specificata, alia"
E68,Sequelae of hyperalimentation,Posledice prekomernog hranjenja,Последствия избыточности питания,Sequelae hyperalimentationis
E70,Disorders of aromatic amino-acid metabolism,Poremećaji metabolizma aromatičnih aminokiselina,Нарушения обмена ароматических аминокислот,Disordines metabolismi aminoacidorum aromaticorum
E70.0,Classical phenylketonuria,Klasično povećanje fenil-alanina u mokraći,Классическая фенилкетонурия,Phenylketonuria classica
E70.1,Other hyperphenylalaninaemias,Ostala povećanja fenil-alanina u krvi,Другие виды гиперфенилаланинемии,Hyperphenylalaninaemiae aliae
E70.2,Disorders of tyrosine metabolism,Poremećaj metabolizma tirozina,Нарушения обмена тирозина,Disordo metabolismi thyrosini
E70.3,Albinism,Nedostatak pigmenta u organizmu,Альбинизм,Albinismus
E70.8,Other disorders of aromatic amino-acid metabolism,Drugi poremećaji metabolizma aromatičnih aminokiselina,Другие нарушения обмена ароматических аминокислот,Disordines metabolismi aminoacidorum aromaticorum alii
E70.9,"Disorder of aromatic amino-acid metabolism, unspecified","Poremećaj metabolozma aromatičnih aminokiselina, neoznačen",Нарушения обмена ароматических аминокислот неуточненные,"Disordo metabolismi aminoacidorum aromaticorum, non specificatus"
E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,Poremećaji metabolizma lančanih aminokiselina i matabolizma masnih kiselina,Нарушения обмена аминокислот с разветвленной цепью и обмена жирных кислот,Disordines metabolismi aminoacidorum catenosorum et metabolismi acidorum steaticorum
E71.0,Maple-syrup-urine disease,Bolest mokraće kao javorov sirup,"Болезнь ""кленового сиропа""",Morbus sirupus aceris-urina
E71.1,Other disorders of branched-chain amino-acid metabolism,Drugi poremećaji metabolizma lančanih aminokiselina,Другие виды нарушений обмена аминокислот с разветвленной цепью,Disordines metabolismi aminoacidorum catenosorum alii
E71.2,"Disorder of branched-chain amino-acid metabolism, unspecified","Poremećaj metabolizma lančanih aminokiselina, neoznačen",Нарушения обмена аминокислот с разветвленной цепью неуточненные,"Disordo metabolismi aminoacidorum catenosorum, non specificatus"
E71.3,Disorders of fatty-acid metabolism,Poremećaji metabolizma masnih kiselina,Нарушения обмена жирных кислот,Disordines metabolismi acidorum stearicorum
E72,Other disorders of amino-acid metabolism,Drugi poremećaji metabolizma aminokiselina,Другие нарушения обмена аминокислот,"Disordines metabolismi aminoacidorum, alii"
E72.0,Disorders of amino-acid transport,Poremećaji prenosa aminokiselina,Нарушения транспорта аминокислот,Disordines transportationis aminoacidorum
E72.1,Disorders of sulfur-bearing amino-acid metabolism,Poremećaji metabolizma aminokiselina sa sumporom,Нарушения обмена серосодержащих аминокислот,Disordines metabolismi aminoacidorum cum sulfure
E72.2,Disorders of urea cycle metabolism,Poremećaji metabolizma ureje,Нарушения обмена цикла мочевины,Disordines metabolismi ureae
E72.3,Disorders of lysine and hydroxylysine metabolism,Poremećaj metabolizma lizina i hidroksilizina,Нарушения обмена лизина и гидроксилизина,Disordines metabolismi lysini et hydroxylysini
E72.4,Disorders of ornithine metabolism,Poremećaji metabolizma ornitina,Нарушения обмена орнитина,Disordines metabolismi ornithini
E72.5,Disorders of glycine metabolism,Poremećaji metabolizma glicina,Нарушения обмена глицина,Disordines metabolismi glycini
E72.8,Other specified disorders of amino-acid metabolism,Drugi označeni poremećaji metabolizma aminokiselina,Другие уточненные нарушения обмена аминокислот,"Disordines metabolismi aminoacidorum alii, specificati"
E72.9,"Disorder of amino-acid metabolism, unspecified","Poremećaj metabolizma aminokiselina, neoznačen",Нарушения обмена аминокислот неуточненные,"Disordo metabolismi aminoacidorum, non specificatus"
E73,Lactose intolerance,Nepodnošenje mlečnog šećera,Непереносимость лактозы,Intolerantia lactosi
E73.0,Congenital lactase deficiency,Urođeni nedostatak laktaze,Врожденная недостаточность лактозы,Deficientia lactasi congenita
E73.1,Secondary lactase deficiency,Stečeni nedostatak laktaze,Вторичная недостаточность лактозы,Deficientia lactasi secundaria
E73.8,Other lactose intolerance,Drugo nepodnošenje mlečnog šećera,Другие виды непереносимости лактозы,Intolerantia lactosi alia
E73.9,"Lactose intolerance, unspecified","Nepodnošenje mlečnog šećera, neoznačeno",Непереносимость лактозы неуточненная,"Intolerantia lactosi, non specificata"
E74,Other disorders of carbohydrate metabolism,Drugi poremećaji metabolizma ugljenih hidrata,Другие нарушения обмена углеводов,Disordines metabolismi carbohydratorum alii
E74.0,Glycogen storage disease,Oboljenje uzrokovano nakupljanjem glikogena,Болезни накопления гликогена,Accumulatio glycogeni abnormalis
E74.1,Disorders of fructose metabolism,Poremećaji metabolizma grožđanog šećera,Нарушения обмена фруктозы,Disordines metabolismi fructosi
E74.2,Disorders of galactose metabolism,Poremećaji metabolizma galaktoze,Нарушения обмена галактозы,Disordines metabolismi galactosi
E74.3,Other disorders of intestinal carbohydrate absorption,Drugi crevni poremećaji apsorpcije ugljenih hidrata,Другие нарушения всасывания углеводов в кишечнике,Disordines absorptionis carbohydratorum intestinales alii
E74.4,Disorders of pyruvate metabolism and gluconeogenesis,Poremećaji metabolizma piruvata i glikoneogeneze,Нарушения обмена пирувата и глюконеогенеза,Disordines metabolismi pyruvati et gluconeogenesis
E74.8,Other specified disorders of carbohydrate metabolism,Drugi označeni poremećaji metabolizma ugljenih hidrata,Другие уточненные нарушения обмена углеводов,"Disordines metabolismi carbohydratorum alii, specificati"
E74.9,"Disorder of carbohydrate metabolism, unspecified","Poremećaj metabolizma ugljenih hidrata, neoznačen",Нарушение обмена углеводов неуточненное,"Disordo metabolismi carbohydrati, non specificatus"
E75,Disorders of sphingolipid metabolism and other lipid storage disorders,Drugi poremećaji metabolizma sfingolipida i deponovanja masti,Нарушения обмена сфинголипидов и другие болезни накопления липидов,Disordines metabolismi sphingolipidi et depositionis lipidorum alii
E75.0,GM2 gangliosidosis,GM2-gangliozidoza,Ганглиозидоз-GM2,Gangliosidosis GM2
E75.1,Other gangliosidosis,Druge gangliozidoze,Другие ганглиозидозы,Gangliosidoses aliae
E75.2,Other sphingolipidosis,Druga sfingolipidoza,Другие сфинголипидозы,Sphingolipidosis alia
E75.3,"Sphingolipidosis, unspecified","Sfingolipidoza, neoznačena",Сфинголипидоз неуточненный,"Sphingolipidosis, non specificata"
E75.4,Neuronal ceroid lipofuscinosis,Neuronalna ceroidna lipofuscinoza,Липофусциноз нейронов,Neuronalis ceroides lipofuscinosis
E75.5,Other lipid storage disorders,Drugi poremećaji deponovanja masti,Другие нарушения накопления липидов,Disordines depositionis lipidorum alii
E75.6,"Lipid storage disorder, unspecified","Poremećaj deponovanja masti, neoznačen",Болезнь накопления липидов неуточненная,"Disordo depositionis lipidorum, non specificatus"
E76,Disorders of glycosaminoglycan metabolism,Poremećaj metabolizma glikozaminoglikana,Нарушения обмена гликозаминогликанов,Disordines metabolismi glycosaminoglycanorum
E76.0,"Mucopolysaccharidosis, type I","Mukopolisaharidoza, tip I","Мукополисахаридоз, тип I","Mucopolysaccharidosis, typus I"
E76.1,"Mucopolysaccharidosis, type II","Mukopolisaharidoza, tip II","Мукополисахаридоз, тип II","Mucopolysaccharidosis, typus II"
E76.2,Other mucopolysaccharidoses,Druge mukopolisaharidoze,Другие мукополисахаридозы,Mucopolysaccharidoses alii
E76.3,"Mucopolysaccharidosis, unspecified","Mukopolisaharidoze, neoznačene",Мукополисахаридоз неуточненный,"Mucopolysaccharidoses, non specificatae"
E76.8,Other disorders of glucosaminoglycan metabolism,Drugi poremećaji metabolizma glikozaminoglikana,Другие нарушения обмена глюкозаминогликанов,Disordines metabolismi glucosaminoglycanorum alii
E76.9,"Disorder of glucosaminoglycan metabolism, unspecified","Poremećaj metabolizma glikozaminoglikana, neoznačen",Нарушение обмена глюкозаминогликанов неуточненное,"Disordines metabolismi glucosaminoglycanorum, non specificatus"
E77,Disorders of glycoprotein metabolism,Poremećaji metabolizma glikoproteina,Нарушения обмена гликопротеинов,Disordines metabolismi glycoproteini
E77.0,Defects in post-translational modification of lysosomal enzymes,Poremećaji posttranslacione modifikacije lizozomnih enzima,Дефекты посттрансляционной модификации лизосомных ферментов,Disordines modificationis posttranslationalis enzymarum lysosomarium
E77.1,Defects in glycoprotein degradation,Poremećaji u razgradnji glikoproteina,Дефекты деградации гликопротеидов,Disordines in degradatione glycoproteini
E77.8,Other disorders of glycoprotein metabolism,Drugi poremećaji metabolizma glikoproteina,Другие нарушения обмена гликопротеидов,Disordines metabolismi glycoproteini alii
E77.9,"Disorder of glycoprotein metabolism, unspecified","Poremećaj metabolizma glikoproteina, neoznačen",Нарушения обмена гликопротеидов неуточненные,"Disordo metabolismi glycoproteini, non specificatus"
E78,Disorders of lipoprotein metabolism and other lipidaemias,Poremećaji metabolizma masti i drugi poremećaji masti u krvi,Нарушения обмена липопротеидов и другие липидемии,Disordines metabolismi lipoproteini et lipidaemiae alii
E78.0,Pure hypercholesterolaemia,Pravo povećanje holesterola u krvi,Чистая гиперхолестеринемия,Hypercholesterolaemia vera
E78.1,Pure hyperglyceridaemia,Pravo povećanje triglicerida u krvi,Чистая гиперглицеридемия,Hyperglyceridaemia vera
E78.2,Mixed hyperlipidaemia,Povećanje raznih vrsta masti,Смешанная гиперлипидемия,Hyperlipidaemia mixta
E78.3,Hyperchylomicronaemia,Povećanje hilomikrona u krvi,Гиперхиломикронемия,Hyperhylomicronaemia
E78.4,Other hyperlipidaemia,Drugo povećanje masti u krvi,Другие гиперлипидемии,Hyperlipidaemia alia
E78.5,"Hyperlipidaemia, unspecified","Povećanje masti u krvi, neoznačeno",Гиперлипидемия неуточненная,"Hyperlipidaemia, non specificata"
E78.6,Lipoprotein deficiency,Nedostatak lipoproteina,Недостаточность липопротеидов,Deficientia lipoproteini
E78.8,Other disorders of lipoprotein metabolism,Drugi poremećaji metabolizma lipoproteina,Другие нарушения обмена липопротеидов,Disordines metabolismi lipoproteini alii
E78.9,"Disorder of lipoprotein metabolism, unspecified","Poremećaj metabolizma lipoproteina, neoznačen",Нарушения обмена липопротеидов неуточненные,"Disordo metabolismi lipoproteini, non specificatus"
E79,Disorders of purine and pyrimidine metabolism,Poremećaji metabolizma purina i pirimidina,Нарушения обмена пуринов и пиримидинов,Disordines metabolismi purini et pyrimidini
E79.0,Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease,Asimptomatsko povećanje mokraćne kiseline u krvi,Гиперурикемия без признаков воспалительного артрита и подагрических узлов,Hyperuricaemia asymptomatica
E79.1,Lesch-Nyhan syndrome,Lech-Nyhanov sindrom,Синдром Леша-Нихена,Syndroma Lesch-Nyhan
E79.8,Other disorders of purine and pyrimidine metabolism,Drugi poremećaji metabolizma purina i pirimidina,Другие нарушения обмена пуринов и пиримидинов,Disordines metabolismi purini et pyrimidini alii
E79.9,"Disorder of purine and pyrimidine metabolism, unspecified","Poremećaj metabolizma purina i pirimidina, neoznačen",Нарушение пуринового и пиримидинового обмена неуточненное,"Disordo metabolismi purini et pyrimidini, non specificatus"
E80,Disorders of porphyrin and bilirubin metabolism,Porfirija i poremećaji metabolizma bilirubina,Нарушения обмена порфирина и билирубина,Porphyria et disordines metabolismi bilirubini
E80.0,Hereditary erythropoietic porphyria,Eritropoezna nasledna porfirija,Наследственная эритропоэтическая порфирия,Porphyria erythropoietica hereditaria
E80.1,Porphyria cutanea tarda,Pozna porfirija kože,Порфирия кожная медленная,Porphyria cutanea tarda
E80.2,Other porphyria,Druga porfirija,Другие порфирии,Porphyria alia
E80.3,Defects of catalase and peroxidase,Poremećaji katalaze i peroksidaze,Дефекты каталазы и пероксидазы,Disordines catalasis et peroxidasis
E80.4,Gilbert syndrome,Gilbertov sindrom,Синдром Жильберта,Syndroma Gilbert
E80.5,Crigler-Najjar syndrome,Crigler-Najjarov sindrom,Синдром Криглера-Найяра,Syndroma Crigler-Najjar
E80.6,Other disorders of bilirubin metabolism,Drugi poremećaji metabolizma bilirubina,Другие нарушения обмена билирубина,Disordines metabolismi bilirubinorum alii
E80.7,"Disorder of bilirubin metabolism, unspecified","Poremećaj metabolizma bilirubina, neoznačen",Нарушение обмена билирубина неуточненное,"Disordo metabolismi bilirubini, non specificatus"
E83,Disorders of mineral metabolism,Poremećji metabolizma mineralnih materija,Нарушения минерального обмена,Disordines metabolismi mineralium
E83.0,Disorders of copper metabolism,Poremećaj metabolizma bakra,Нарушения обмена меди,Disordo metabolismi cupri
E83.1,Disorders of iron metabolism,Poremećaji metabolizma gvožđa,Нарушения обмена железа,Disordines metabolismi ferri
E83.2,Disorders of zinc metabolism,Poremećaji metabolizma cinka,Нарушения обмена цинка,Disordines metabolismi zinci
E83.3,Disorders of phosphorus metabolism and phosphatases,Poremećaji metabolizma fosfora i fosfata,Нарушения обмена фосфора,Disordines metabolismi phosphori et phosphatasis
E83.4,Disorders of magnesium metabolism,Poremećaji metabolizma magnezijuma,Нарушения обмена магния,Disordines metabolismi magnesii
E83.5,Disorders of calcium metabolism,Poremećaji metabolizma kalcijuma,Нарушения обмена кальция,Disordines metabolismi calcii
E83.8,Other disorders of mineral metabolism,Drugi poremećaji metabolizma minerala,Другие нарушения минерального обмена,Disordines metabolismi mineralium alii
E83.9,"Disorder of mineral metabolism, unspecified","Poremećaj metabolizma mineralnih materija, neoznačen",Нарушение минерального обмена неуточненное,"Disordo metabolismi mineralium, non specificatus"
E84,Cystic fibrosis,Cistična fibroza,Кистозный фиброз,Fibrosis cystica
E84.0,Cystic fibrosis with pulmonary manifestations,Cistična fibroza pluća,Кистозный фиброз с легочными проявлениями,Fibrosis cystica pulmonalis
E84.1,Cystic fibrosis with intestinal manifestations,Cistična fibroza creva,Кистозный фиброз с кишечными проявлениями,Fibrosis cystica intestinalis
E84.8,Cystic fibrosis with other manifestations,Cistična fibroza sa drugim manifestacijama,Кистозный фиброз с другими проявлениями,Fibrosis cystica cum manifestationibus alli
E84.9,"Cystic fibrosis, unspecified","Cistična fibroza, neoznačena",Кистозный фиброз неуточненный,"Fibrosis cystica, non specificata"
E85,Amyloidosis,Amiloidoza – nagomilavanje amiloida u tkivima,Амилоидоз,Amyloidosis
E85.0,Non-neuropathic heredofamilial amyloidosis,"Porodično nasledna amiloidoza, bez neuroloških manifestacija",Наследственный семейный амилоидоз без невропатии,"Amyloidosis heredofamiliaris, non-neuropathica"
E85.1,Neuropathic heredofamilial amyloidosis,Porodično nasledna amiloidoza sa neurološkim manifestacijama,Невротический наследственный семейный амилоидоз,Amyloidosis heredofamiliaris neuropathica
E85.2,"Heredofamilial amyloidosis, unspecified","Porodično nasledna amiloidoza, neoznačena",Наследственный семейный амилоидоз неуточненный,"Amyloidosis heredofamiliaris, non specificata"
E85.3,Secondary systemic amyloidosis,Sistemska sekundarna amiloidoza,Вторичный системный амилоидоз,Amyloidosis systemica secundaria
E85.4,Organ-limited amyloidosis,Lokalizovana amiloidoza,Ограниченный амилоидоз,Amyloidosis localisata
E85.8,Other amyloidosis,Druga amiloidoza,Другие формы амилоидоза,Amyloidosis alia
E85.9,"Amyloidosis, unspecified","Amiloidoza, neoznačena",Амилоидоз неуточненный,"Amyloidosis, non specificata"
E86,Volume depletion,Smanjenje količine vode i zapremine krvi,Уменьшение объема жидкости,Dehidratio et hypovolaemia
E87,"Other disorders of fluid, electrolyte and acid-base balance","Drugi poremećaji tečnosti, elektrolita i acido-bazne ravnoteže",Другие нарушения водно-солевого или кислотно-щелочного равновесия,"Disordines fluidi, electrolyti et aequilibrii acidobasis alii"
E87.0,Hyperosmolality and hypernatraemia,Povećana osmolalnost i povećanje natrijuma u krvi,Гиперосмолярность и гипернатриемия,Hyperosmolalia et hypernatraemia
E87.1,Hypo-osmolality and hyponatraemia,Smanjena osmolalnost i smanjenje natrijuma u krvi,Гипоосмолярность и гипонатриемия,Hypoosmolalia et hyponatraemia
E87.2,Acidosis,Povećanje kiselosti krvi,Ацидоз,Acidosis
E87.3,Alkalosis,Povećanje alkalnosti krvi,Алкалоз,Alkalosis
E87.4,Mixed disorder of acid-base balance,Mešoviti poremećaj acido-bazne ravnoteže,Смешанное нарушение кислотно-щелочного равновесия,Disordo aequilibrii acidobasici mixtus
E87.5,Hyperkalaemia,Povećanje kalijuma u krvi,Гиперкалиемия,Hyperkaliaemia
E87.6,Hypokalaemia,Smanjenje kalijuma u krvi,Гипокалиемия,Hypokaliaemia
E87.7,Fluid overload,Uvećana zapremina krvi,Гиперволемия,Hypervolaemia
E87.8,"Other disorders of electrolyte and fluid balance, not elsewhere classified","Drugi poremećaji ravnoteže tečnosti i elektrolita, neklasifikovani na drugom mestu","Другие нарушения водно-солевого равновесия, не классифицированные в других рубриках","Disordines aequlibrii electrolyti et fluidi alii, non alibi classificati"
E88,Other metabolic disorders,Drugi poremećaji metabolizma,Другие нарушения обмена веществ,Disordines metabolismi alii
E88.0,"Disorders of plasma-protein metabolism, not elsewhere classified","Poremećaji metabolizma belančevina plazme, neklasifikovani na drugom mestu","Нарушения обмена белков плазмы, не классифицированные в других рубриках","Disordines metabolismi plasma-proteini, non alibi classificati"
E88.1,"Lipodystrophy, not elsewhere classified","Lipodistrofija, neklasifikovana na drugom mestu","Липодистрофия, не классифицированная в других рубриках","Lipodystrophia, non alibi classificata"
E88.2,"Lipomatosis, not elsewhere classified","Lipomatoza, neklasifikovana na drugom mestu","Липоматоз, не классифицированный в других рубриках","Lipomatosis, non alibi clasificata"
E88.3,Tumour lysis syndrome,Sindrom lize - razgradnje tumora,Синдром распада опухоли,Syndroma tumor lysis
E88.8,Other specified metabolic disorders,Drugi označeni poremećaji metabolizma,Другие уточненные нарушения обмена веществ,"Disordines metabolismi alii, specificati"
E88.9,"Metabolic disorder, unspecified","Poremećaj metabolizma, neoznačen",Нарушение обмена веществ неуточненное,"Disordo metabolismi, non specificatus"
E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified","Poremećaji žlezda sa unutrašnjim lučenjem i poremećaji metabolizma posle medicinskih intervencija, neklasifikovani na drugom mestu","Эндокринные и метаболические нарушения, возникшие после медицинских процедур, не классифицированные в других рубриках","Disordines endocrini et disordines metabolici postprocedurales, non alibi classificati"
E89.0,Postprocedural hypothyroidism,Smanjena funkcija štitaste žlezde posle medicinskih intervencija,"Гипотиреоидизм, возникший после медицинских процедур",Hypothyreoidismus postproceduralis
E89.1,Postprocedural hypoinsulinaemia,Smanjenje insulina u krvi posle medicinske intervencije,"Гипоинсулинемия, возникшая после медицинских процедур",Hypoinsulinaemia postproceduralis
E89.2,Postprocedural hypoparathyroidism,Smanjena funkcija paraštitaste žlezde posle medicinske intervencije,"Гипопаратиреоидизм, возникший после медицинских процедур",Hypoparathyreoidismus postproceduralis
E89.3,Postprocedural hypopituitarism,Smanjena funkcija pituitarne žlezde posle medicinske intervencije,"Гипопитуитаризм, возникший после медицинских процедур",Hypopituitarismus postproceduralis
E89.4,Postprocedural ovarian failure,Smanjena funkcija jajnika posle medicinske intervencije,"Нарушение функции яичников, возникшее после медицинских процедур",Hypofunctio ovarii postproceduralis
E89.5,Postprocedural testicular hypofunction,Smanjena funkcija muških polnih žlezda posle medicinske intervencije,"Гипофункция яичек, возникшая после медицинских процедур",Hypofunctio testicularis postproceduralis
E89.6,Postprocedural adrenocortical(-medullary) hypofunction,Smanjena funkcija nadbubrežne žlezde posle medicinske intervencije,"Гипофункция коры надпочечников (мозгового слоя), возникшая после медицинских процедур",Hypofunctio adrenocorticalis (-medullaris) postproceduralis
E89.8,Other postprocedural endocrine and metabolic disorders,Drugi poremećaji žlezde sa unutrašnjim lučenjem i poremećaj metabolizma posle medicinskih intervencija,"Другие эндокринные и обменные нарушения, возникшие после медицинских процедур",Disordines glandulae endocrinae et disordines metabolismi postprocedurales alii
E89.9,"Postprocedural endocrine and metabolic disorder, unspecified","Poremećaj žlezda sa unutrašnjim lučenjem i poremećaj metabolizma posle medicinske intervencije, neoznačen","Эндокринное и обменное нарушение, возникшее после медицинских процедур, неуточненное","Disordo glandulae endocrinae et disordo metabolismi postproceduralis, non specificatus"
E90,Nutritional and metabolic disorders in diseases classified elsewhere,Poremećaji ishrane i poremećaji metabolizma u bolestima klasifikovanim na drugom mestu,"Расстройства питания и нарушения обмена веществ при болезнях, классифицированных в других рубриках",Disordes nutritionis et disordines metabolismi in morbis alibi classificatis
F00,Dementia in Alzheimer disease,Demencija u Alzheimerovoj bolesti,Деменция при болезни Альцгеймера (G30.-+),Dementia in morbo Alzheimer
F00.0,Dementia in Alzheimer disease with early onset,"Demencija u Alzheimerovoj bolesti, sa ranim početkom",Деменция при болезни Альцгеймера с ранним началом (G30.0+),Dementia in morbo Alzheimer praecox
F00.1,Dementia in Alzheimer disease with late onset,"Demencija u Alzheimerovoj bolesti, sa kasnim početkom",Деменция при болезни Альцгеймера с поздним началом (G30.1+),Dementia in morbo Alzheimer tardiva
F00.2,"Dementia in Alzheimer disease, atypical or mixed type",Atipična ili mešovita demencija u Alzheimerovoj bolesti,Деменция при болезни Альцгеймера атипичная или смешанного типа (G30.8+),Dementia in morbo Alzheimer atypica sive mixta
