number,group_num,group_name,code_length,code,diagnosis_sr,diagnosis_lat
2677,5,Duševni poremećaji i poremećaji ponašanja,4,F505,Povraćanje sa drugim psihičkim smetnjama,Vomitus cum disordinibus psychicis aliis
2678,5,Duševni poremećaji i poremećaji ponašanja,4,F508,Drugi poremećaji ishrane,Disordines alimentarii alii
2679,5,Duševni poremećaji i poremećaji ponašanja,4,F509,"Poremećaj ishrane, neoznačen","Disordo alimentarius, non specificatus"
2680,5,Duševni poremećaji i poremećaji ponašanja,3,F51,Neorganski poremećaji spavanja,Disordines somni non organici
2681,5,Duševni poremećaji i poremećaji ponašanja,4,F510,Neorganska nesanica,Insomnia non organica
2682,5,Duševni poremećaji i poremećaji ponašanja,4,F511,Neorganska preterana pospanost,Hypersomnia non organica
2683,5,Duševni poremećaji i poremećaji ponašanja,4,F512,Neorganski poremećaj ritma spavanja,Dysrhytmia somni non organica
2684,5,Duševni poremećaji i poremećaji ponašanja,4,F513,Mesečarstvo-hodanje u toku spavanja,Somnambulismus
2685,5,Duševni poremećaji i poremećaji ponašanja,4,F514,Noćni strah,Pavor nocturnus
2686,5,Duševni poremećaji i poremećaji ponašanja,4,F515,Noćne more,Incubi nocturni
2687,5,Duševni poremećaji i poremećaji ponašanja,4,F518,Drugi neorganski poremećaji spavanja,Dyssomni non organici alii
2688,5,Duševni poremećaji i poremećaji ponašanja,4,F519,"Neorganski poremećaj spavanja, neoznačen","Dyssomnus non organicus, non specificatus"
2689,5,Duševni poremećaji i poremećaji ponašanja,3,F52,Neorganski poremećaj u polnom odnosu,Dysfunctio sexualis non organica
2690,5,Duševni poremećaji i poremećaji ponašanja,4,F520,Nedovoljnost ili gubitak polne želje,Insufficientia sive perditio desiderii sexualis
2691,5,Duševni poremećaji i poremećaji ponašanja,4,F521,Odvratnost prema polnom odnosu i odsustvo polnog uživanja,Aversio et anhedonia sexualis
2692,5,Duševni poremećaji i poremećaji ponašanja,4,F522,Neuspešnost polnog odgovora,Insufficientia cupidinis genitalis
2693,5,Duševni poremećaji i poremećaji ponašanja,4,F523,Poremećaj orgazma,Dysfunctio orgasmi
2694,5,Duševni poremećaji i poremećaji ponašanja,4,F524,Prevremena ejakulacija,Ejaculatio praecox
2695,5,Duševni poremećaji i poremećaji ponašanja,4,F525,Neorganski bolni grč vagine,Vaginismus non organicus
2696,5,Duševni poremećaji i poremećaji ponašanja,4,F526,Neorganski uzrokovan bolan polni odnos,Dyspareunia non organica
2697,5,Duševni poremećaji i poremećaji ponašanja,4,F527,Preterani polni nagon,Cupido sexualis enormis
2698,5,Duševni poremećaji i poremećaji ponašanja,4,F528,Drugi neorganski poremećaj polnog odnosa,"Dysfunctio sexualis alia, non organica"
2699,5,Duševni poremećaji i poremećaji ponašanja,4,F529,"Neorganski poremećaj polnog odnosa, neoznačen","Dysfunctio sexualis non organica, non specificata"
2700,5,Duševni poremećaji i poremećaji ponašanja,3,F53,"Duševni poremećaji i poremećaji ponašanja udruženi sa babinjama, neklasifikovani na drugom mestu","Disordines mentales et disordines morum cum puerperio associati, non alibi classificati"
2701,5,Duševni poremećaji i poremećaji ponašanja,4,F530,"Blagi duševni poremećaji i poremećaji ponašanja udruženi sa babinjama, neklasifikovani na drugom mestu","Disordines mentales et disordines morum mites cum puerperio assiciati, non alibi classificati"
2702,5,Duševni poremećaji i poremećaji ponašanja,4,F531,"Teški duševni poremećaji i poremećaji ponašanja udruženi sa babinjama, neklasifikovani na drugom mestu","Disordines mentales et disordines morum graves cum puerperio associati, non alibi classificati"
2703,5,Duševni poremećaji i poremećaji ponašanja,4,F538,"Drugi duševni poremećaji i poremećaji ponašanja udruženi sa babinjama, neklasifikovani na drugom mestu","Disordines mentales et disordines morum cum puerperio associati alii, non alibi classificati"
2704,5,Duševni poremećaji i poremećaji ponašanja,4,F539,"Duševni poremećaj u babinjama, neoznačen","Disordo mentalis puerperalis, non specificatus"
2705,5,Duševni poremećaji i poremećaji ponašanja,3,F54,Psihološki faktori i faktori ponašanja povezani sa poremećajima ili bolestima klasifikovanim na drugom mestu,Factores mentales et factores morum cum disordinibus et morbis alibi classificati associati
2706,5,Duševni poremećaji i poremećaji ponašanja,3,F55,Zloupotreba lekova bez uzrokovanja zavisnosti,Abusus supstantiarum non dependiferarum
2707,5,Duševni poremećaji i poremećaji ponašanja,3,F59,"Sindromi ponašanja udruženi sa fiziološkim smetnjama i fizičkim faktorima, neoznačeni","Syndromata morum cum disordinibus physiologicis et factoribus physicis, non specificata"
2708,5,Duševni poremećaji i poremećaji ponašanja,3,F60,Specifični poremećaji ličnosti,Disordines personae specifici
2709,5,Duševni poremećaji i poremećaji ponašanja,4,F600,Paranoidni poremećaj ličnosti,Disordo personae paranoides
2710,5,Duševni poremećaji i poremećaji ponašanja,4,F601,Šizoidni poremećaj ličnosti,Disordo personae schizoides
2711,5,Duševni poremećaji i poremećaji ponašanja,4,F602,Disocijalni poremećaj ličnosti,Disordo personae dissocialis
2712,5,Duševni poremećaji i poremećaji ponašanja,4,F603,Emocionalni nastabilni poremećaj ličnosti,Disordo personae emotionalis instabilis
2713,5,Duševni poremećaji i poremećaji ponašanja,4,F604,Teatralni poremećaj ličnosti,Disordo personae histrionicus
2714,5,Duševni poremećaji i poremećaji ponašanja,4,F605,Anankastički poremećaj ličnosti,Disordo personae anankasticus
2715,5,Duševni poremećaji i poremećaji ponašanja,4,F606,Anksiozni (izbegavajući) poremećaj ličnosti,Disordo personae anxiosus [evitans]
2716,5,Duševni poremećaji i poremećaji ponašanja,4,F607,Poremećaj ličnosti u sferi zavisnosti,Disordo personae dependens
2717,5,Duševni poremećaji i poremećaji ponašanja,4,F608,Drugi označeni poremećaji ličnosti,"Disordines personae alii, specificati"
2718,5,Duševni poremećaji i poremećaji ponašanja,4,F609,"Poremećaj ličnosti, neoznačen","Disordo personae, non specificatus"
2719,5,Duševni poremećaji i poremećaji ponašanja,3,F61,Mešoviti i drugi poremećaji ličnosti,"Disordines personae mixti, et alii"
2720,5,Duševni poremećaji i poremećaji ponašanja,3,F62,Trajna promena ličnosti neorganskog porekla,Mutatio personae persistens non organica
2721,5,Duševni poremećaji i poremećaji ponašanja,4,F620,Trajna promena ličnosti posle doživljene katastrofe,Mutatio personae postcatastrophica permanens
2722,5,Duševni poremećaji i poremećaji ponašanja,4,F621,Trajna promena ličnosti posle psihijatrijske bolesti,Disordo personae persistens post morbum psychiatricum
2723,5,Duševni poremećaji i poremećaji ponašanja,4,F628,Druge trajne promene ličnosti,Disordines personae persistentes alii
2724,5,Duševni poremećaji i poremećaji ponašanja,4,F629,"Trajna promena ličnosti, neoznačena","Disordo personae persistens, non specificatus"
2725,5,Duševni poremećaji i poremećaji ponašanja,3,F63,Poremećaji navika i impulsa,Disordines consuetudinum et impulsuum
2726,5,Duševni poremećaji i poremećaji ponašanja,4,F630,Patološko kockanje,Alea pathologica
2727,5,Duševni poremećaji i poremećaji ponašanja,4,F631,Piromanija - patološko podmetanje požara,Pyromania pathologica
2728,5,Duševni poremećaji i poremećaji ponašanja,4,F632,Kleptomanija - patološka sklonost krađi,Cleptomania
2729,5,Duševni poremećaji i poremećaji ponašanja,4,F633,Trihotilomanija - bolesno čupanje kose,Trichotillomania
2730,5,Duševni poremećaji i poremećaji ponašanja,4,F638,Drugi poremećaji navika i impulsa,Disordines consuetudinum et impulsuum alii
2731,5,Duševni poremećaji i poremećaji ponašanja,4,F639,"Poremećaj navika i impulsa, neoznačen","Disordo consuetudinum et impulsuum, non specificatus"
2732,5,Duševni poremećaji i poremećaji ponašanja,3,F64,Poremećaji polnog identiteta,Disordines identitatis sexualis
2733,5,Duševni poremećaji i poremećaji ponašanja,4,F640,Transseksualizam,Transsexualismus
2734,5,Duševni poremećaji i poremećaji ponašanja,4,F641,Transvestitizam sa dvostrukom ulogom,Transvestitismus duplex
2735,5,Duševni poremećaji i poremećaji ponašanja,4,F642,Poremećaj polnog identiteta u detinjstvu,Disordo identitatis sexualis puerilis
2736,5,Duševni poremećaji i poremećaji ponašanja,4,F648,Drugi poremećaji polnog identiteta,Disordines identitatis sexualis alii
2737,5,Duševni poremećaji i poremećaji ponašanja,4,F649,"Poremećaj polnog identiteta, neoznačen","Disordo identitatis sexualis, non specificatus"
2738,5,Duševni poremećaji i poremećaji ponašanja,3,F65,Poremećaji polne sklonosti,Disordines inclinationis sexualis
2739,5,Duševni poremećaji i poremećaji ponašanja,4,F650,Fetišizam,Fetishismus
2740,5,Duševni poremećaji i poremećaji ponašanja,4,F651,Fetišistički transvestitizam,Transvestitismus fetishisticus
2741,5,Duševni poremećaji i poremećaji ponašanja,4,F652,Egzibicionizam,Exhibitionismus
2742,5,Duševni poremećaji i poremećaji ponašanja,4,F653,Voajerizam,Voyeurismus
2743,5,Duševni poremećaji i poremećaji ponašanja,4,F654,Pedofilija,Paedophilia
2744,5,Duševni poremećaji i poremećaji ponašanja,4,F655,Sadomazohizam,Sadomasochismus
2745,5,Duševni poremećaji i poremećaji ponašanja,4,F656,Višestruki poremećaji polne sklonosti,Disordines inclinationis sexualis multiplices
2746,5,Duševni poremećaji i poremećaji ponašanja,4,F658,Drugi poremećaji polne sklonosti,Disordines inclinationis sexualis alii
2747,5,Duševni poremećaji i poremećaji ponašanja,4,F659,"Poremećaj polne sklonosti, neoznačen","Disordo inclinationis sexualis, non specificatus"
2748,5,Duševni poremećaji i poremećaji ponašanja,3,F66,Psihološki poremećaji i poremećaji ponašanja povezani sa polnim razvojem i orijentacijom,Disordines mentales et disordines cum evolutione et orientatione sexuali
2749,5,Duševni poremećaji i poremećaji ponašanja,4,F660,Poremećaj polnog sazrevanja,Disordo maturationis sexualis
2750,5,Duševni poremećaji i poremećaji ponašanja,4,F661,Egodistonička polna orijentacija,Orientatio sexualis egodystonica
2751,5,Duševni poremećaji i poremećaji ponašanja,4,F662,Poremećaj polnog odnosa partnera,Disordo relationis sexualis
2752,5,Duševni poremećaji i poremećaji ponašanja,4,F668,Drugi psihoseksualni razvojni poremećaji,Disordines evolutionis psychosexualis alii
2753,5,Duševni poremećaji i poremećaji ponašanja,4,F669,"Psihoseksualni razvojni poremećaj, neoznačen","Disordo evolutionis psychosexualis, non specificatus"
2754,5,Duševni poremećaji i poremećaji ponašanja,3,F68,Drugi poremećaji ličnosti i poremećaji ponašanja odraslih,Disordines personae et disordines morum adultorum alii
2755,5,Duševni poremećaji i poremećaji ponašanja,4,F680,Obrada telesnih simptoma zbog psihičkih razloga,Elaboratio symptomatum somaticorum psychogenium
2756,5,Duševni poremećaji i poremećaji ponašanja,4,F681,Namerno izazivanje ili simuliranje telesnih simptoma psihičkih nesposobnosti (simulirani poremećaj),Provocatio symptomatum intenta sive simulatio symptomatum impotentiarum psychicarum somaticorum (disordo simulans)
2757,5,Duševni poremećaji i poremećaji ponašanja,4,F688,Drugi specifični poremećaji ličnosti i poremećaji ponašanja odraslih,"Disordines personae et disordines morum adultorum alii, specifici"
2758,5,Duševni poremećaji i poremećaji ponašanja,3,F69,"Poremećaji ličnosti i poremećaji ponašanja odrasle osobe, neoznačeni","Disordines personae et disordines morum adulti, non specificati"
2759,5,Duševni poremećaji i poremećaji ponašanja,3,F70,Laka duševna zaostalost,Retardatio mentalis levis
2760,5,Duševni poremećaji i poremećaji ponašanja,4,F700,Laka duševna zaostalost-nema poremećaja ponašanja ili je minimalan,#Laka duševna zaostalost-nema poremećaja ponašanja ili je minimalan
2761,5,Duševni poremećaji i poremećaji ponašanja,4,F701,Laka duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman,#Laka duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman
2762,5,Duševni poremećaji i poremećaji ponašanja,4,F708,Laka duševna zaostalost-drugi poremećaji ponašanja,#Laka duševna zaostalost-drugi poremećaji ponašanja
2763,5,Duševni poremećaji i poremećaji ponašanja,4,F709,Laka duševna zaostalost-nema napomene o poremećaju ponašanja,#Laka duševna zaostalost-nema napomene o poremećaju ponašanja
2764,5,Duševni poremećaji i poremećaji ponašanja,3,F71,Umerena duševna zaostalost,Retardatio mentalis moderata
2765,5,Duševni poremećaji i poremećaji ponašanja,4,F710,Umerena duševna zaostalost-nema poremećaja ponašanja ili je minimalan,#Umerena duševna zaostalost-nema poremećaja ponašanja ili je minimalan
2766,5,Duševni poremećaji i poremećaji ponašanja,4,F711,Umerena duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman,#Umerena duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman
2767,5,Duševni poremećaji i poremećaji ponašanja,4,F718,Umerena duševna zaostalost-drugi poremećaji ponašanja,#Umerena duševna zaostalost-drugi poremećaji ponašanja
2768,5,Duševni poremećaji i poremećaji ponašanja,4,F719,Umerena duševna zaostalost-nema napomene o poremećaju ponašanja,#Umerena duševna zaostalost-nema napomene o poremećaju ponašanja
2769,5,Duševni poremećaji i poremećaji ponašanja,3,F72,Teška duševna zaostalost,Retardatio mentalis gravis
2770,5,Duševni poremećaji i poremećaji ponašanja,4,F720,Teška duševna zaostalost-nema poremećaja ponašanja ili je minimalan,#Teška duševna zaostalost-nema poremećaja ponašanja ili je minimalan
2771,5,Duševni poremećaji i poremećaji ponašanja,4,F721,Teška duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman,#Teška duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman
2772,5,Duševni poremećaji i poremećaji ponašanja,4,F728,Teška duševna zaostalost-drugi poremećaji ponašanja,#Teška duševna zaostalost-drugi poremećaji ponašanja
2773,5,Duševni poremećaji i poremećaji ponašanja,4,F729,Teška duševna zaostalost-nema napomene o poremećaju ponašanja,#Teška duševna zaostalost-nema napomene o poremećaju ponašanja
2774,5,Duševni poremećaji i poremećaji ponašanja,3,F73,Duboka duševna zaostalost,Retardatio mentalis profunda
2775,5,Duševni poremećaji i poremećaji ponašanja,4,F730,Duboka duševna zaostalost-nema poremećaja ponašanja ili je minimalan,#Duboka duševna zaostalost-nema poremećaja ponašanja ili je minimalan
2776,5,Duševni poremećaji i poremećaji ponašanja,4,F731,Duboka duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman,#Duboka duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman
2777,5,Duševni poremećaji i poremećaji ponašanja,4,F738,Duboka duševna zaostalost-drugi poremećaji ponašanja,#Duboka duševna zaostalost-drugi poremećaji ponašanja
2778,5,Duševni poremećaji i poremećaji ponašanja,4,F739,Duboka duševna zaostalost-nema napomene o poremećaju ponašanja,#Duboka duševna zaostalost-nema napomene o poremećaju ponašanja
2779,5,Duševni poremećaji i poremećaji ponašanja,3,F78,Druga duševna zaostalost,Retardatio mentalis alia
2780,5,Duševni poremećaji i poremećaji ponašanja,4,F780,Druga duševna zaostalost-nema poremećaja ponašanja ili je minimalan,#Druga duševna zaostalost-nema poremećaja ponašanja ili je minimalan
2781,5,Duševni poremećaji i poremećaji ponašanja,4,F781,Druga duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman,#Druga duševna zaostalost-značajan poremećaj ponašanja koji zahteva pažnju i tretman
2782,5,Duševni poremećaji i poremećaji ponašanja,4,F788,Druga duševna zaostalost-drugi poremećaji ponašanja,#Druga duševna zaostalost-drugi poremećaji ponašanja
2783,5,Duševni poremećaji i poremećaji ponašanja,4,F789,Druga duševna zaostalost-nema napomene o poremećaju ponašanja,#Druga duševna zaostalost-nema napomene o poremećaju ponašanja
2784,5,Duševni poremećaji i poremećaji ponašanja,3,F79,"Duševna zaostalost, neoznačena","Retardatio mentalis, non specificata"
2785,5,Duševni poremećaji i poremećaji ponašanja,4,F790,"Duševna zaostalost, neoznačena-nema poremećaja ponašanja ili je minimalan","#Duševna zaostalost, neoznačena-nema poremećaja ponašanja ili je minimalan"
2786,5,Duševni poremećaji i poremećaji ponašanja,4,F791,"Duševna zaostalost, neoznačena-značajan poremećaj ponašanja koji zahteva pažnju i tretman","#Duševna zaostalost, neoznačena-značajan poremećaj ponašanja koji zahteva pažnju i tretman"
2787,5,Duševni poremećaji i poremećaji ponašanja,4,F798,"Duševna zaostalost, neoznačena-drugi poremećaji ponašanja","#Duševna zaostalost, neoznačena-drugi poremećaji ponašanja"
2788,5,Duševni poremećaji i poremećaji ponašanja,4,F799,"Duševna zaostalost, neoznačena-nema napomene o poremećaju ponašanja","#Duševna zaostalost, neoznačena-nema napomene o poremećaju ponašanja"
2789,5,Duševni poremećaji i poremećaji ponašanja,3,F80,Specifični poremećaji razvoja govora i jezika,"Disordines evolutionis orationis et linguae, specifici"
2790,5,Duševni poremećaji i poremećaji ponašanja,4,F800,Specifičan poremećaj izgovora,Disordo orationis articularis specificus
2791,5,Duševni poremećaji i poremećaji ponašanja,4,F801,Poremećaj ekspresivnog govora,Disordo orationis expressiva
2792,5,Duševni poremećaji i poremećaji ponašanja,4,F802,Poremećaj receptivnog govora,Disordo orationis (receptivus)
2793,5,Duševni poremećaji i poremećaji ponašanja,4,F803,Landau Kleffnerov stečeni gubitak govora sa epilepsijom,Aphasia aquisita cum epilepsia [Landau-Kleffner]
2794,5,Duševni poremećaji i poremećaji ponašanja,4,F808,Drugi poremećaji razvoja govora i jezika,Disordines evolutionis orationis et linguae alii
2795,5,Duševni poremećaji i poremećaji ponašanja,4,F809,"Poremećaj razvoja govora i jezika, neoznačen","Disordo evolutionis orationis et linguae, non specificatus"
2796,5,Duševni poremećaji i poremećaji ponašanja,3,F81,Specifični poremećaji razvoja sposobnosti za školovanje,Disordines evolutionis facultatum scholasticarum specifici
2797,5,Duševni poremećaji i poremećaji ponašanja,4,F810,Specifičan poremećaj čitanja,Dyslexia specifica
2798,5,Duševni poremećaji i poremećaji ponašanja,4,F811,Specifičan poremećaj spelovanja,Disordo separationis litterarum specificatus
2799,5,Duševni poremećaji i poremećaji ponašanja,4,F812,Specifičan poremećaj računanja,Disordo arithmeticalis specificus
2800,5,Duševni poremećaji i poremećaji ponašanja,4,F813,Mešovit poremećaj sposobnosti za školovanje,Disordo facultatum scholasticarum mixtus
2801,5,Duševni poremećaji i poremećaji ponašanja,4,F818,Drugi poremećaji razvoja sposobnosti za školovanje,Disordines evolutionis facultatum scholasticarum alii
2802,5,Duševni poremećaji i poremećaji ponašanja,4,F819,"Poremećaj razvoja sposobnosti za školovanje, neoznačen","Disordo evolutionis facultatum scholasticarum, non specificatus"
2803,5,Duševni poremećaji i poremećaji ponašanja,3,F82,Specifičan poremećaj razvoja pokretljivosti,Disordo evolutionis functionis motoricae specificus
2804,5,Duševni poremećaji i poremećaji ponašanja,3,F83,Mešoviti specifični poremećaji razvoja,Disordines evolutionis specifici mixti
2805,5,Duševni poremećaji i poremećaji ponašanja,3,F84,Prožimajući poremećaji razvoja,Disordines evolutionis pervasivi
2806,5,Duševni poremećaji i poremećaji ponašanja,4,F840,Dečiji autizam,Autismus puerilis
2807,5,Duševni poremećaji i poremećaji ponašanja,4,F841,Atipičan autizam,Autismus atypicus
2808,5,Duševni poremećaji i poremećaji ponašanja,4,F842,Rettov sindrom,Syndroma Rett
2809,5,Duševni poremećaji i poremećaji ponašanja,4,F843,Drugi dezintegrativni poremećaj detinjstva,Disordo pueritiae desintegrativus alius
2810,5,Duševni poremećaji i poremećaji ponašanja,4,F844,Hiperkinetički poremećaj sa duševnom zaostalošću i stereotipnim pokretima,Hyperkinesia cum retardatione mentali et motibus stereotypicis
2811,5,Duševni poremećaji i poremećaji ponašanja,4,F845,Aspergerov sindrom,Syndroma Asperger
2812,5,Duševni poremećaji i poremećaji ponašanja,4,F848,Drugi pervazivni poremećaji razvoja,Disordines evolutionis pervasivi alii
2813,5,Duševni poremećaji i poremećaji ponašanja,4,F849,"Pervazivni poremećaj razvoja, neoznačen","Disordo evolutionis pervasivus, non specificatus"
2814,5,Duševni poremećaji i poremećaji ponašanja,3,F88,Drugi psihički poremećaji razvoja,Disordines evolutionis psychici alii
2815,5,Duševni poremećaji i poremećaji ponašanja,3,F89,"Poremećaj psihičkog razvoja, neoznačen","Disordo evolutionis psychicae, non specificatus"
2816,5,Duševni poremećaji i poremećaji ponašanja,3,F90,Hiperkinetički poremećaji,Disordines hyperkinetici
2817,5,Duševni poremećaji i poremećaji ponašanja,4,F900,Poremećaj aktivnosti i poremećaj pažnje,Disordo activitatis et disordo attentionis
2818,5,Duševni poremećaji i poremećaji ponašanja,4,F901,Hiperkinetički poremećaj ponašanja,Disordo morum hyperkineticus
2819,5,Duševni poremećaji i poremećaji ponašanja,4,F908,Drugi hiperkinetički poremećaji,Disordines hyperkinetici alii
2820,5,Duševni poremećaji i poremećaji ponašanja,4,F909,"Hiperkinetički poremećaj, neoznačen","Disordo hyperkineticus, non specificatus"
2821,5,Duševni poremećaji i poremećaji ponašanja,3,F91,Poremećaji ponašanja,Disordines morum
2822,5,Duševni poremećaji i poremećaji ponašanja,4,F910,Poremećaji ponašanja u porodici,Disordo morum in familia
2823,5,Duševni poremećaji i poremećaji ponašanja,4,F911,Poremećaj ponašanja uzrokovan nepotpunom socijalizacijom,Disordo morum non socialisatus
2824,5,Duševni poremećaji i poremećaji ponašanja,4,F912,Poremećaj socijalizovanog ponašanja,Disordo morum socialisatus
2825,5,Duševni poremećaji i poremećaji ponašanja,4,F913,Poremećaji protivljenja i prkosa,Disordo oppositus et provocatus
2826,5,Duševni poremećaji i poremećaji ponašanja,4,F918,Drugi poremećaji ponašanja,Disordines morum alii
2827,5,Duševni poremećaji i poremećaji ponašanja,4,F919,"Poremećaj ponašanja, neoznačen","Disordo morum, non specificatus"
2828,5,Duševni poremećaji i poremećaji ponašanja,3,F92,Mešoviti poremećaji ponašanja i emocija,Disordines morum et emotionum mixti
2829,5,Duševni poremećaji i poremećaji ponašanja,4,F920,Poremećaj ponašanja u vidu depresije,Disordo morum depressivus
2830,5,Duševni poremećaji i poremećaji ponašanja,4,F928,Drugi mešoviti poremećaji ponašanja i emocija,Disordines morum et emotionum mixti alii
2831,5,Duševni poremećaji i poremećaji ponašanja,4,F929,"Mešovit poremećaj ponašanja i emocija, neoznačen","Disordo morum et emotionum mixtus, non specificatus"
2832,5,Duševni poremećaji i poremećaji ponašanja,3,F93,Poremećaj emocija sa početkom u detinjstvu,Disordo emotionum in infantia oreus
2833,5,Duševni poremećaji i poremećaji ponašanja,4,F930,Anksiozni poremećaji odvajanja u detinjstvu,Disordo separationis puerilis anxiosus
2834,5,Duševni poremećaji i poremećaji ponašanja,4,F931,Fobijsko anksiozni poremećaj u detinjstvu,Disordo puerilis phobicus anxiosus
2835,5,Duševni poremećaji i poremećaji ponašanja,4,F932,Socijalni anksiozni poremećaj u detinjstvu,Disordo puerilis socialis anxiosus
2836,5,Duševni poremećaji i poremećaji ponašanja,4,F933,Poremećaj suparništva sa bratom ili sestrom,Disordo aemulationis cum fratre et sorore
2837,5,Duševni poremećaji i poremećaji ponašanja,4,F938,Drugi poremećaji emocija u detinjstvu,Disordines emotionum in infantia orti alii
2838,5,Duševni poremećaji i poremećaji ponašanja,4,F939,"Poremećaj emocija nastao u detinjstvu, neoznačen","Disordo emotionum puerilis, non specificatus"
2839,5,Duševni poremećaji i poremećaji ponašanja,3,F94,Poremećaji socijalnog funkcionisanja nastali u detinjstvu i adolescenciji,Disordines functionis socialis in infantia et adolescentia orti
2840,5,Duševni poremećaji i poremećaji ponašanja,4,F940,Probiračka nemost,Mutismus selectivus
2841,5,Duševni poremećaji i poremećaji ponašanja,4,F941,Reaktivni poremećaj vezivanja u detinjstvu,Disordo connoxivus reactivus puerilis
2842,5,Duševni poremećaji i poremećaji ponašanja,4,F942,Poremećaj vezivanja u detinjstvu,Disordo disinhibitionalis connexivus puerilis
2843,5,Duševni poremećaji i poremećaji ponašanja,4,F948,Drugi poremećaji socijalnog funkcionisanja u detinjstvu,Disordines functionalis socialis puerilis alii
2844,5,Duševni poremećaji i poremećaji ponašanja,4,F949,"Poremećaj socijalnog funkcionisanja u detinjstvu, neoznačen","Disordo functionis socialis puerilis, non specificatus"
2845,5,Duševni poremećaji i poremećaji ponašanja,3,F95,Tikovi – nevoljni pokreti mišića,Disordines spasmi involuntarii
2846,5,Duševni poremećaji i poremećaji ponašanja,4,F950,Prolazan tik,Tic transitorius
2847,5,Duševni poremećaji i poremećaji ponašanja,4,F951,Hronični motorni ili glasovni tik,Tic motorius sive vocalis chronicus
2848,5,Duševni poremećaji i poremećaji ponašanja,4,F952,Kombinovani glasovno motorni tik,Tic motorius et vocalis multiplex [de la Tourette]
2849,5,Duševni poremećaji i poremećaji ponašanja,4,F958,Drugi tik,Tic alius
2850,5,Duševni poremećaji i poremećaji ponašanja,4,F959,Tik neoznačen,"Tic, non specificatus"
2851,5,Duševni poremećaji i poremećaji ponašanja,3,F98,Drugi poremećaji emocija i poremećaji ponašanja nastali u detinjstvu i adolescenciji,Disordines emotionum et disordines morum in infantia sive adolescentia orti alii
2852,5,Duševni poremećaji i poremećaji ponašanja,4,F980,"Nevoljno umokravanje, neorgansko",Enuresis non organica
2853,5,Duševni poremećaji i poremećaji ponašanja,4,F981,"Nevoljno ispuštanje stolice, neorgansko",Encopresis non organica
2854,5,Duševni poremećaji i poremećaji ponašanja,4,F982,Poremećaj ishrane odojčadi i deteta,Disordo nutritionis infantis et pueri
2855,5,Duševni poremećaji i poremećaji ponašanja,4,F983,Pika u ranom i kasnijem detinjstvu,Pica infantilis et pica puerilis
2856,5,Duševni poremećaji i poremećaji ponašanja,4,F984,Stereotipni poremećaji pokreta,Disordines motuum stereotypici
2857,5,Duševni poremećaji i poremećaji ponašanja,4,F985,Mucanje,Battarismus
2858,5,Duševni poremećaji i poremećaji ponašanja,4,F986,Eksplozivni govor sa prekidima,Oratio festinans cum interruptionibus
2859,5,Duševni poremećaji i poremećaji ponašanja,4,F988,Drugi specifični poremećaji emocija i poremećaji ponašanja sa početkom u detinjstvu i adolescenciji,Disordines emotionum et disordines morum in infantia sive adolescentia alii specifici
2860,5,Duševni poremećaji i poremećaji ponašanja,4,F989,"Poremećaji emocija i poremećaji ponašanja sa početkom u detinjstvu i adolescenciji, neoznačeni","Disordines emotionum et disordines morum in infantia sive adolescentia, non specificati"
2861,5,Duševni poremećaji i poremećaji ponašanja,3,F99,Duševni poremećaj,Disordo mentalis
2862,6,Bolesti nervnog sistema,3,G00,"Bakterijski meningitis, neklasifikovan na drugom mestu","Meningitis bacterialis, non alibi classificatis"
2863,6,Bolesti nervnog sistema,4,G000,Hemofilusni meningitis,Meningitis haemophilosa
2864,6,Bolesti nervnog sistema,4,G001,Pneumokokni meningitis,Meningitis pneumococcica
2865,6,Bolesti nervnog sistema,4,G002,Streptokokni meningitis,Meningitis streptococcica
2866,6,Bolesti nervnog sistema,4,G003,Stafilokokni meningitis,Meningitis staphylococcica
2867,6,Bolesti nervnog sistema,4,G008,Ostali bakterijski meningitisi,Meningitis bacterialis alia
2868,6,Bolesti nervnog sistema,4,G009,"Bakterijski meningitis, neoznačen","Meningitis bacterialis, non specificata"
2869,6,Bolesti nervnog sistema,3,G01,"Meningitis u bakterijskim bolestima, klasifikovanim na drugom mestu",Meningitis in morbis bacterialibus alibi classificatis
2870,6,Bolesti nervnog sistema,3,G02,"Meningitis u drugim zaraznim i parazitarnim bolestima, klasifikovanim na drugom mestu","Meningitis in morbis infectivis et morbis parasitariis aliis, alibi classificatis"
2871,6,Bolesti nervnog sistema,4,G020,"Meningitis u virusnim bolestima, klasifikovanim na drugom mestu","Meningitis in morbis viralibus, alibi classificatis"
2872,6,Bolesti nervnog sistema,4,G021,Meningitis u mikozama,Meningitis mycotica
